ReviewerID,P_interests,O_interests,P_intentions,O_intentions,product_preferences
A13C53Z3ONTAIS,"romance, love story, sexy, sassy, steamy","predictable story, everyday lives, gritty, complex life, family","enjoyed reading, loved the story, wanted to read more","waited for the plot to thicken, wanted the main characters to work through hurdles","romance novels, love stories, sexy books, MC series, fairy tales, gritty stories"
A13C8NG8050JNQ,reading books,none,recommend books,none,romance books
A13DHT9IJA4J13,Fantasy,"Science Fiction, Comedy, Thriller, Mystery",Read for entertainment,"Read for information, Read for a challenge","Novellas, Novels, Fiction Books"
A13EI8L5IV842A,erotica,"holiday read, romance story, true romance",enjoy reading,read multiple books,books
A13FGE5H3UXJLZ,romance,"suspense, action, mystery, paranormal, fantasy","read, enjoy","recommend, write reviews","shifter romance, paranormal romance, fantasy romance"
A13FPL5UXQDLK8,books,"time travel, romance",recommend,read,"erotica, romance novels"
A13H6BLWC6IGOX,"BDSM, relationships, romance, suspense","photography, senior citizens, beach life, travel, music, law enforcement, journalism","book recommendations, series continuation, support for authors","warning, spoiler alert, critique, suggestion for improvement","romance novels, erotic fiction, books with complex characters, slow burn relationships"
A13J31ZJVVG2GY,romance books,mystery and suspense,reading and recommending books,writing reviews and discovering new authors,romance novels with suspenseful plots
A13JQT6036JF,romance novels,"reading, book bundles","recommend, love, enjoy","read, purchase, get more books","romance novels, series books"
A13KP9R4K5RZES,"romance, love, drama, quirky characters, relationships","books, reading, characters, storylines","escape, entertainment, enjoy","understand, appreciate, think","fun, quick reads, deep stories, romance novels"
A13LERNQ8R7267,"romance, love, series, light read, break","dark books, books, reading, series, men characters, men love","read, recommend, buy, love, one click","wait, read, try, find, skip","series books, light reads, romance books, MC books, mafia books"
A13Q7A1UWMNUU6,Josh Lanyon books,"Specifically, the author's memoirs and the characters' relationships",Enjoy a whodunnit mystery novel,Experience personal growth and relationship development,"Josh Lanyon books, specifically romance/mystery genre"
A13QONG1RD57UW,"Sexy Romance, Alpha Males, Hockey Players, MMA fighters, Sports novels","Travel, Animals, Food, Music, Movies","Read Romantic Fiction, Get Emotionally Invested in Characters, Enjoy Sensual Scenes","Learn New Things, Escape Reality, Relax and Unwind, Follow Favorite Authors","Paperback, E-book, Romance Novels, Contemporary Fiction"
A13QTZ8CIMHHG4,romance,mystery,read,escape,ebooks
A13TLUQKSW123I,"Romance, Fantasy, Science Fiction, Adventure, Time Travel","Vampires, Shifter Cousins, Hollywood, Stunt Actors, Technopath, Vampires and Drek, Shadows","Entertaining, Emotional Journey, Adventure","Developing a Romance, Surviving a Complicated Situation, Finding Happiness","Romance, Science Fiction, Fantasy, Adventure, Suspense"
A13TSHRPNBZ48G,Fantasy books with intricate characters and emotional depth,None mentioned,To become emotionally invested in a story,None mentioned,Fantasy novels
A13VENZC543MTF,"science fiction, romance, disaster, paranormal, alien, paranormal-alien","life, decluttering, mystery, suspense, thriller, hope, love, regret, disappointment","keep me interested, enjoy the ride, see how it turns out","read the rest of the series, get the next book, think about the plot","boxed set, pamphlet, free e-book"
A13XP5GW7E4DQL,Romance,"Series, Small town, Family, Friends, Relationships, Love stories, HEA, New authors, Discoveries, Setting, Setting descriptions",Enjoy reading romance books,"Discover new authors, Read series, Follow the story","Romance, Romance series, Small town settings, Family-centric stories, HEA endings, New authors"
A140X4AI78V5SA,"Literary Fiction, Mystery, Characters, Storytelling","M/M Romance, War Stories, Gay Relationships","Enjoyment, Emotion, Connection","Recommendation, Encouragement, Critique","Well-written Stories, Realistic Characters, Emotional Connection"
A140YR7GSCZG4,"Shifter stories, romance, suspense, drama","Erotic, paranormal, vampires, dragons, time travel","Read, enjoy, drawn in, intrigued","Compare to normal reading, follow series, read more, continue","Dark romance, paranormal, vampire, dragon, shifter, erotic, suspenseful, action-packed"
A141H51I3H4B1S,"Romance, Historical Fiction, Regency Romance, Western Romance","Other genres such as Mystery, Thriller, Horror, Science Fiction, Fantasy, Young Adult, Non-Fiction","To discover new romance and historical fiction books, to experience the emotional journey of characters, to escape reality","To explore other genres, to learn new things, to be entertained","Ebooks, Paperbacks, Audiobooks, Free samples, Series, Novellas, Short stories, Romance, Historical Fiction, Regency Romance"
A142HAT43L5W4W,Books,Romance,Reading,Writing,Romance
A143IV9N6HPKKB,"erotica, romance, BDSM, sex, relationships, music, bands, bikers, MC clubs, abuse, rape, self-defense, protection, love, family, friendship, trust, betrayal, loyalty, revenge, protection, redemption, forgiveness, healing, personal growth, and self-discovery.","travel, education, writing, photography, music, art, fashion, shopping, self-improvement, personal growth, and relationships.","read, understand, critique, analyze, review, comment, and learn.","entertain, engage, captivate, persuade, provoke, and challenge.","erotica, romance, BDSM, sex, relationships, music, bands, bikers, MC clubs, abuse, rape, self-defense, protection, love, family, friendship, trust, betrayal, loyalty, revenge, protection, redemption, forgiveness, healing, personal growth, and self-discovery."
A143XY6COA69A,romance novels,contemporary fiction,recommend reading the series,discuss the books and characters,erotic romance novels
A145WECLPKFMGR,mystery short story,detective fiction,recommend the book,read more from the author,mystery short stories
A14CRMGM3ZW3SP,"urban fiction,street drama, gangster life, romance","life, relationships, family dynamics","reading, escaping reality, getting entertained","relating to the characters, predicting plot twists, getting emotional investment","novels, urban fiction, romance, drama"
A14D49AYSAOI5W,Romance,"Book series, Suspense, Humor, Action",Read and enjoy,"Recommend, Wait for next book","Book series, Romance novels"
A14DA24GGS7PUG,fantasy adventure,romance,critique stories with unique writing styles,recommend romantic stories,fantasy novels
A14DHYFGHKOYHZ,"Romance, Rockstars, Firemen, Tattoo Artists, Hot Men","Books, Reading, Series, Friends, Love Stories","Enjoy, Read, Love, Recommend","Grab, Look Forward, Get Involved, Read More","Romance Books, Rockstar Romances, Series, Book Sets"
A14DUDH4XI44SE,"historical fiction, romance, adventure, mystery, humor","romance, mystery, adventure, humor",read and enjoy,read more books by the same author,"novels, historical fiction, romance, adventure, mystery, humor, page turners, easy to read, fun style"
A14I311IIUMBWC,books,"fantasy romance, time travel, historical romances, regency romances, contemporary romance, paranormal romance, second chance romance","read, review, recommend","enjoy, relax, escape","book boyfriends, romance novels, audiobooks, e-books, indie authors, new releases, romance series, paranormal romances, historical romances, contemporary romances, regency romances, fantasy romances, time travel romances, second chance romances, motorcycle club romances, sports romances, shifter romances, royals romances, friends to lovers, friends with benefits, office romances, beach romances, military romances, bachelor romances, friends to lovers, friends with benefits, office romances, beach romances, military romances, bachelor romances"
A14JRMDRK5WYBK,"Fantasy, Romance, Young Adult","Adventure, Humor, Drama",To finish a trilogy with a wonderful wrap-up,To read a series with a good story and chemistry between characters,"Contemporary Romance, New Adult Romance, Young Adult Fiction"
A14K6RM80ABFMS,reading books,"sex, suspense",keep reading,"finish reading, writing sequels","books with cowboys, cults, romance, suspense, sequels"
A14LCDDBQLVWVQ,Romance,"Cowboy, History, Small Town, Christmas, Rockstar, Family, Construction, Antiques, Holiday, Hockey, Basketball, Family Business",Read a romance story,"Discover new authors, Learn about different settings and characters","Romance Novels, Christmas Themed Stories, Women's Fiction, Rockstar Romance, Small Town Romances, Historical Romances"
A14LG657BU0URK,books,genre,criticize,encourage,trilogy
A14LJ38DVMAW79,Romance,"BDSM, Abuse, MC, Hockey, FBI, Second Chance",Read and enjoy romance stories,"Explore themes of BDSM, abuse, MC, hockey, FBI, and second chance","Romance novels, particularly those with second chance, MC, and biker themes"
A14QJKY3DA19AP,"suspense, action, thrillers, mysteries, science fiction, romance, horror, crime, mystery, supernatural, fantasy, adventure, history, biography, legal, politics","fiction, short stories, romance, mystery, thriller, history, biography, science fiction, fantasy, adventure, crime, horror, supernatural","entertainment, escape, enjoyment, suspense, thrill, excitement, adventure, relaxation, knowledge, understanding, insight","education, awareness, knowledge, understanding, critical thinking, analysis, insight, reflection, inspiration, motivation","Kindle Singles, short stories, free books, romantic fiction, sci-fi, fantasy, mystery, thriller, crime, horror, supernatural, adventure, history, biography, legal, politics"
A14R9XMZVJ6INB,Paranormal romance,"Mystery, Historical fiction",Read romance novels for entertainment,Discover new authors and genres,"Digital novellas, Affordable prices, Well-written stories, Engaging characters"
A14SGXD8VCKDV4,HOT romantic scenes,"romance, blind dates",feeling immersed in the story,reading and discovering the plot,romance novels
A14TBDIKFSOIX8,romance,mystery action drama,recommend,read,romance novels paranormal romance shifter romance
A14TMD2G1JAUGS,"paranormal romance, fantasy, wolves, shifter society, romance, magic, adventure, mystery, suspense","contemporary romance, urban fantasy, mystery, suspense, thriller, action","reading books with paranormal romance, finding new favorite authors, exploring fantasy worlds","looking for complex characters, enjoying stories with humor, reading books with steamy content","box sets, novels, romance novels, fantasy novels, paranormal romance novels"
A14TN4KQCZUV2N,book reviews,authors and books,sharing honest reviews about books,discussing and critiquing books,books with complex characters and engaging storylines
A14X298EFGBR7D,"erotica, romance, sexy love stories","romance series, angsty stories, horse riding",enjoy spicy love stories,"stay on edge of seat, read entire series",erotica romance novels
A14Z5K9KODP71B,Romance Novels,"Mystery, Thriller, Fantasy",Critique Books,Review Books,"Romance Novels, Contemporary Romance"
A1516JPVQ5BIO8,classics,"thrillers, paranormal",read dozens of classics,relax with meditating,"impressive literature, easy to recognize style, promises, smart kick ass girl, logical cold blooded assassin, relentless tempo, new magical gimmicks, new forms of weapons, peacefull tendencies, human heroes, tactics, subtlety, big picture, drama, eloquent humanity, suspense, mystery, friendship, love rekindled, good plot, interesting characters, happy endings, fairy tale, broken hearts, adoring prince, clueless princess, work oriented professional, intriguing mother, romance, humor, old folks' idiosyncrasies, mystery, short stories, sexy, lively, intense, American values, American food, holidays, childhood rhymes, Xmas songs, everyday technological gadgets, magic, magic worlds, parallel worlds, dragons, shapeshifter, Excalibur, Merlin and Arthur, Real story, history facts, geography, school, technological gadgets, magic to them, motivation, Meditation, educated dummies, vocabulary, Internet, Eastern philosophy, Christian approved, tormented stories, religious stories, passion, secrets, mysteries, romance, Irish heroines, wild and proud, visited Ireland, adventure, military discipline, inspiring leadership, courage, romance, mature adults, sorcery, magic, vocabulary, humor, energy power of crystals, ancient time of Atlantis, telepathy, use of crystals, Soul Blade, Xmas story, fun, romantic, hug a tree Christmassy story"
A1524Z01N7F336,"erotica romance, dark romance, BDSM, MM, MF, MFFM","erotica romance, paranormal romance, vampires, MM, MF, MFFM","read books for entertainment, explore different genres","discover new authors, follow series, explore different themes","erotica romance, dark romance, BDSM, MM, MF, MFFM, paranormal romance"
A152BS457PKF7F,Romance stories,Author's work,Read and enjoy books,Recommend to others,Free books
A152CZFZ3RUUPW,Romance,Reading,Entertainment,Escape,Books
A152EA7ZPCA1Q8,"Romance, M C series, Books, Reading, Love","MMA, Irish fans, Sport, Music, General fiction","Enjoying, Reading, Falling in love, Laughing out loud","Waiting for more, Being disappointed, Getting through, Continuing the series","M C series, Romance books, Stand alone, Books with strong men, Good story, Good finale, Sweet romance"
A152ONOF44X77R,romance fiction series,"family drama, emotional stories, character development","follow the series, see characters' relationships develop","read more of the same series, follow the authors","romance novels, series with complex characters"
A153BZY51YK0F9,Romance," Paranormal Fiction, Music, Sex, Drama",Emotional Connection,"Thrilling Storytelling, Social Commentary","Romance Novels, Paranormal Fiction"
A157IALEQ8PJG6,Paranormal romance novels,Shifters,Reading romantic stories,Exploring new genres,Multi-book series
A157M8K1SKX49X,erotica,"books, movies",enjoy,relate,erotica novels
A15AJQGEGVANTM,romance,"Christian romance, suspense, faith, mystery",read,"recommend, look forward to reading more","Christian romance books, series books, standalone books"
A15EI56DL57DZC,"romance, love, relationships, friendships, family","rock music, pop music, country music, book clubs, book bloggers","read, review, recommend, discuss, connect","escape, relax, entertain, inform, critique","contemporary romance novels, new adult fiction, young adult fiction, fantasy romance, paranormal romance, mystery, thriller, suspense"
A15EMPO8TCH2RB,reading,"storytelling, romance, mystery",recommend,"entertain, laugh",romance novels
A15IF7NAB1Y196,"science fiction, urban fantasy, action, adventure","mystery, thriller, romance, relationships","to critique, to praise, to provide feedback","to engage, to entertain, to inform","books, series, mini-series, urban fantasy, science fiction"
A15Q5MVRVBMKW7,romance novels,reading,find engaging stories,recommend books to others,romance novels
A15RKFWXR5W3PP,"contemporary romance, paranormal romance, forbidden love, taboo subjects","book series, book recommendations, authors to follow","read and review books, follow series, discover new authors","one-click books, buy more books, share reviews with friends","paperback books, e-books, audiobooks, series sets"
A15SDP1BEW9SXA,marketing,none,make a difference in marketing efforts,none,"self-help, advice book"
A15SXR274LOSHU,"romance, fantasy, dual POV, series, love, family, friends, steemy story","humor, hot, sexy, suspenseful, bumpy holiday, holiday story, feel-good","get hooked, read more, continue w/ characters, invest in characters, read anything","have fun, enjoy characters, laugh, be entertained, get hooked","novel, novella, series, fantasy, romance"
A15T45VLAFQVTD,romance novels,"mystery, humor, historical fiction",recommend books,read more books,"romance books, series, books with good characters"
A15U7ETGD4PE9X,"paranormal romance, shifter romance, vampire romance","sports romance, fantasy romance, mystery romance","find love, escape danger, overcome past","save the day, uncover secrets, make amends","paranormal romance novels, shifter romance series, vampire romance books"
A15UNCBR5LLPQE,paranormal romance,Various interests not specified,read and review romance novels,Various intentions not specified,"shifters, paranormal romance novels, and romance novels with happy endings"
A15VY7B7VJ3UNY,Romance and Erotica,"Hockey, Football, Martial Arts, NHL, PR Firm, Assassins Family",Reading for Entertainment and Leisure,Reviewing Books for Wicked Reads,"Romance Novellas, Hot Sex Scenes, Complex Characters, Partnerships, Sports Themes"
A15VZ8KA1KH8ES,exciting plot twists and turns,diverse characters and relationships,entertainment and emotional engagement,emotional investment and character development,"romance novels or series, specifically Fool's Gold books"
A15Y3Q6XIXTGKU,Romance,"Thriller, Suspense, Drama",Enjoy a page-turning experience,Examine character development and plot twists,"Romantic Suspense, Page Turners, Drama"
A15YT5AKBDUGU0,"Science fiction, survival, stranded, desert island, teenagers' camp","Alien invasion, demon, werewolf, cat, romance","Read a story, enjoy the book, visualize the characters and locations","Critique the book, point out the issues with the plot, compare to other series","Well-written, descriptive, believable characters, exciting plot, new ideas, suitable for all ages"
A162RUEBFRKZ17,Romance,Characters,Read,Recommend,Romance novels
A1630ADTTI0JLO,"[paranormal romance, romance novels, shifters, alpha males, strong female leads, supernatural creatures]","[romance, fantasy, paranormal, shifters, alpha males]","[read romance novels, enjoy paranormal stories, follow series]","[discover new authors, read more romance, explore different genres]","[paranormal romance, romance novels, shifter books, alpha male leads]"
A163XZU3HM4EHV,romance novels,"suspense, drama, and mystery",reading and recommending books,sharing emotions and reactions,romance novels and series
A166K6TJTPDX8K,Romance,"Mystery, Paranormal, Erotica, Adventure",Enjoying a good read,"Getting hooked on a series, Anticipating a good story","Romance novels, Shifters, Paranormal, Erotic fiction"
A16AL32R7ZZVXB,erotic romance,historical romance,read enjoyable stories,find new series to follow,"novellas, novelettes, series with HEA endings"
A16AQ4VKYGFWAA,Romance,Other interests not specified,Read romance novels,None specified,Romance novels
A16E3LZGPATT2,"war stories, romance","adventure, crime investigation",recommend books,root for the good guys,"book series with romance, humor, and adventure"
A16EVINGPOU4U6,comic murder mystery,"book series, development of lead character, romantic suspense",reading entertaining books,"critiquing marketing of books, finding well-written books","mystery, thriller, romantic suspense, futuristic novels"
A16L3T6DYOY1YE,Paranormal Romance,"Fantasy, Suspense, Drama",Read and discover new stories,Explore different genres and authors,"Romance novels, Paranormal Fiction"
A16M2ZO7ZUS170,romance,contemporary life,read a love story,follow a series,books
A16N88TMHMXX1F,love stories,"mystery, suspense, western, romance, crime",read and enjoy,"recommend, try to solve","novels, Christian novels, detective stories, romance stories, inspirational books"
A16NOA3DB7G1SR,"books, stories, drama","fiction, romance, relationships, sex","entertainment, engagement","escape, relaxation",romantic fiction novels
A16Q50SFQBPFS6,"Paranormal romance, steamy romance, strong heroine, alpha hero",Science fiction,Read more in the series,Give a high recommendation,"Kindle, free books"
A16TE56LP5NUL5,Romance,"Paranormal Romance, Shifter Romance, Christmas Romance",Read and Enjoy,"Discover New Series, Meet New Characters","Short, Fast, Sexy and Enjoyable Stories"
A16WWBGZHJYJ27,"Romance, Paranormal, Shifters, Fantasy","Reading, Writing, Books, TV Series",Get Swept Up in the Story,Await Next Season or Book,"Paranormal Romance, Shifters, Fantasy"
A16XJNGXIVCHE3,mystery,"fairy tales, magic, crime",read,laugh,"books, series, mystery, crime, magic"
A16ZTSR8M5J5G2,romance,"mystery, adventure, historical","reading, recommending",finding a new romance,"free novels, ebooks"
A17126555O7KXC,"Romance, New Adult, Erotic, Historical","Books, reading, writing, music","Read, enjoy, escape","Review, recommend, learn","Romance novels, New Adult fiction, Erotic literature, Historical romance"
A178S00H8B3YWA,"Vampire stories, Werewolf stories, BDSM, Erotic stories, Historical romances, Short stories","Boardroom action, Steamy sex scenes, Funny names, Action and speed, Strong women, Men making mistakes","Reading series and authors, Finding out what happens next","Enjoying humor in stories, Reading finished stories, Getting a feel for a character's past","Hot and steamy reads, Short stories, BDSM, Historical romances, Respecting relationships"
A179INWJ0ZLOB4,"Paranormal, romance, hot warriors, assassins, fighters, shifters, dragons, bikers","Doctors, lingerie, romance, drama, suspense, action, paranormal","Entertainment, reading, romance, escape, relaxation","Escape, relaxation, reading, entertainment, romance","Romance novels, paranormal novels, military related romance, club romance, Erotic novels"
A179ZGXWA4RW3Q,romance,erotica,read,re-read,erotica romance novels
A17APVES3TT17Y,Romance,"Various interests (historical romance, student/teacher genre, MC lifestyle, Mafia, etc.)",Emotional connections and relationships,"Drama, suspense, and plot twists","Romance novels, especially those with alpha males, second chance romances, and long lost love stories"
